player_id,match_id,minutes_played,goals,assists,shots,shots_on_target,passes_attempted,passes_completed,key_passes,tackles,interceptions,duels_won,duels_lost,fouls_committed,yellow_cards,red_cards,xg,xa
P00103,M2024001,90,0,0,0,0,85,72,2,2,0,6,8,4,0,0,0,0.09
P00100,M2024001,65,0,0,1,0,65,55,1,0,2,6,9,4,0,0,0.05,0.07
P00095,M2024001,85,0,0,0,0,50,35,0,6,3,8,6,4,0,0,0,0
P00093,M2024001,85,0,0,0,0,42,32,1,1,1,7,8,0,0,0,0,0.14
P00102,M2024001,70,0,0,0,0,41,31,2,5,1,2,6,1,0,0,0,0.29
P00110,M2024001,80,0,0,1,0,41,31,2,0,1,8,10,0,0,0,0.19,0.15
P00108,M2024001,70,0,0,1,0,17,15,1,0,0,1,4,0,0,0,0.11,0.02
P00090,M2024001,85,0,0,1,1,25,20,0,2,1,8,5,4,0,0,0.27,0
P00105,M2024001,65,0,1,3,0,49,43,0,0,4,6,13,1,0,0,0.67,0
P00091,M2024001,65,0,0,1,0,53,47,0,0,3,2,3,2,0,0,0.0,0
P00106,M2024001,90,0,0,3,2,27,21,3,0,2,5,8,1,0,0,0.63,0.17
P00099,M2024001,8,0,0,1,1,6,5,0,2,2,10,5,3,0,0,0.1,0
P00098,M2024001,11,0,0,0,0,9,6,0,3,3,7,8,4,0,0,0,0
P00109,M2024001,32,0,1,1,0,10,9,1,0,0,6,9,1,0,0,0.01,0.04
P00107,M2024001,35,0,0,2,1,8,6,2,0,0,1,4,1,0,0,0.22,0.19
P00104,M2024001,13,0,0,3,0,7,5,1,6,1,4,3,2,0,0,0.05,0.14
P00148,M2024001,90,0,0,2,1,58,46,1,6,4,7,5,4,0,0,0.47,0.05
P00133,M2024001,70,0,0,0,0,24,18,0,0,1,4,8,2,1,0,0,0
P00145,M2024001,65,0,0,3,0,46,35,2,5,0,6,6,3,0,0,0.76,0.05
P00146,M2024001,80,0,0,3,0,64,59,1,4,1,11,9,1,0,0,4.88,0.03
P00138,M2024001,90,0,0,0,0,51,47,2,2,0,2,3,1,0,0,0,0.26
P00144,M2024001,70,0,0,1,0,54,39,0,3,3,6,9,4,0,0,0.24,0
P00139,M2024001,90,0,0,0,0,58,42,2,5,4,11,6,4,1,0,0,0.28
P00147,M2024001,85,0,0,3,1,68,64,0,0,2,6,13,1,0,0,4.08,0
P00135,M2024001,80,0,0,1,1,56,44,0,6,3,4,8,0,0,0,0.01,0
P00137,M2024001,90,0,0,1,0,44,36,2,0,2,12,8,3,0,0,0.27,0.05
P00152,M2024001,90,0,0,3,2,23,16,1,1,0,2,4,3,1,0,0.56,0.07
P00140,M2024001,25,0,0,0,0,12,9,0,6,3,10,10,2,1,0,0,0
P00134,M2024001,16,0,0,0,0,3,2,0,1,1,8,4,4,1,0,0,0
P00141,M2024001,16,0,0,0,0,11,10,1,4,0,11,6,3,0,0,0,0.14
P00142,M2024001,14,0,0,0,0,6,4,3,6,4,3,6,3,0,0,0,0.44
P00102,M2024002,85,0,1,2,2,94,82,1,6,3,4,4,1,0,0,0.58,0.02
P00091,M2024002,75,1,0,1,1,46,36,1,4,3,2,4,3,0,0,0.21,0.01
P00110,M2024002,90,1,0,3,2,46,41,0,1,2,5,3,1,0,0,0.4,0
P00095,M2024002,90,0,0,0,0,52,42,3,3,3,10,6,4,0,0,0,0.32
P00093,M2024002,85,0,0,0,0,48,35,2,6,0,4,8,0,0,0,0,0.08
P00097,M2024002,85,0,0,0,0,38,28,1,3,1,11,9,2,0,0,0,0.04
P00099,M2024002,90,0,1,0,0,99,93,2,5,1,5,6,3,0,0,0,0.29
P00103,M2024002,90,0,1,0,0,64,48,2,2,2,12,6,2,0,0,0,0.09
P00100,M2024002,85,0,2,0,0,68,57,1,2,2,4,4,2,0,0,0,0.13
P00101,M2024002,70,0,0,0,0,76,57,0,6,4,10,7,1,0,0,0,0
P00090,M2024002,90,0,0,0,0,21,17,0,2,0,9,6,1,0,0,0,0
P00105,M2024002,16,0,1,1,0,15,11,0,1,2,7,3,2,0,0,0.07,0
P00107,M2024002,33,0,0,2,1,8,6,2,2,2,3,4,1,0,0,0.23,0.09
P00109,M2024002,9,0,0,5,2,4,3,0,2,0,3,4,1,0,0,0.68,0
P00129,M2024002,80,1,0,5,2,17,14,1,0,0,7,9,0,0,0,0.25,0.12
P00116,M2024002,80,0,0,0,0,54,43,1,1,2,9,11,1,0,0,-0.19,0.12
P00126,M2024002,90,0,0,0,0,57,45,1,0,3,8,5,4,1,0,0,0.1
P00113,M2024002,80,0,0,0,0,56,40,0,5,1,6,5,0,0,0,0,0
P00115,M2024002,85,0,0,0,0,43,35,1,2,0,4,4,4,0,0,0,0.08
P00124,M2024002,90,0,0,0,0,63,54,1,1,0,3,2,0,0,0,0,0.02
P00127,M2024002,80,0,0,0,0,56,45,4,2,3,2,4,1,0,0,0,0.22
P00117,M2024002,90,0,0,1,0,40,36,1,1,2,11,5,4,0,0,0.11,0.05
P00125,M2024002,90,1,0,2,2,91,83,0,1,0,3,7,4,0,0,0.26,0
P00118,M2024002,85,0,0,1,0,66,61,0,3,3,2,4,2,1,0,0.16,0
P00130,M2024002,90,0,0,5,2,39,28,1,0,1,9,7,3,0,0,-0.47,0.09
P00111,M2024002,20,0,0,1,0,4,3,0,1,0,11,4,0,0,0,0.11,0
P00128,M2024002,19,0,0,3,3,6,4,1,2,0,4,4,0,0,1,0.08,0.09
P00119,M2024002,21,0,0,0,0,16,15,0,0,1,9,10,4,0,0,0,0
P00180,M2024003,85,0,0,0,0,61,45,2,1,2,5,3,0,0,0,0,0.18
P00184,M2024003,80,0,0,1,0,63,44,2,4,3,14,6,1,0,0,0.24,0.03
P00177,M2024003,90,1,0,1,1,27,20,0,1,1,12,7,1,0,0,0.22,0
P00187,M2024003,70,0,0,2,2,69,60,1,5,1,5,5,2,0,0,0.34,0.09
P00188,M2024003,80,0,1,2,2,44,36,0,1,0,2,4,1,0,0,0.09,0
P00186,M2024003,90,0,0,0,0,62,56,0,6,4,7,5,4,0,0,0,0
P00194,M2024003,80,0,0,0,0,29,27,4,1,2,2,4,2,0,0,0,0.52
P00192,M2024003,85,1,0,2,1,83,62,2,1,2,7,12,0,0,0,0.31,0.11
P00178,M2024003,90,0,0,0,0,28,19,0,1,2,3,6,2,0,0,0,0
P00196,M2024003,90,0,0,3,2,36,27,0,0,2,5,5,4,0,0,0.8,0
P00179,M2024003,90,1,0,1,1,40,29,0,1,4,8,4,2,0,0,0.03,0
P00183,M2024003,5,0,0,1,1,4,3,0,5,1,8,7,0,0,0,-0.13,0
P00191,M2024003,29,0,0,0,0,18,13,2,5,3,4,3,1,1,0,0,0.01
P00182,M2024003,13,0,0,0,0,10,9,3,3,3,11,8,3,0,0,-0.39,0.05
