team_id,name,league,stadium,city
T001,Arsenal FC,Premier League,Emirates Stadium,London
T002,Chelsea FC,Premier League,Stamford Bridge,London
T003,Manchester City,Premier League,Etihad Stadium,Manchester
T004,Liverpool FC,Premier League,Anfield,Liverpool
T005,Manchester United,Premier League,Old Trafford,Manchester
T006,Tottenham Hotspur,Premier League,Tottenham Hotspur Stadium,London
T007,Newcastle United,Premier League,St. James' Park,Newcastle
T008,Brighton & Hove Albion,Premier League,Amex Stadium,Brighton
T009,Aston Villa,Premier League,Villa Park,Birmingham
T010,West Ham United,Premier League,London Stadium,London
